region,month,temperature,salinity,depth,oxygen,turbidity,species
Andaman Sea,August,27.7,33.9,83,4.6,3.3,Snapper
Visakhapatnam,February,30.1,35.2,121,6.9,2.9,Tuna
Andaman Sea,February,28.4,34.6,84,5.2,4.7,Snapper
Andaman Sea,January,29.8,34.7,82,6.2,1.4,Snapper
Kerala Coast,June,24.4,34.9,15,5.1,7.0,Anchovy
Rameswaram,January,25.1,33.4,25,4.5,8.4,Sardine
Kerala Coast,December,26.3,34.5,49,5.1,8.7,Mackerel
Kerala Coast,April,27.7,34.3,34,7.9,5.6,Sardine
Kerala Coast,September,27.0,35.5,27,6.3,3.0,Sardine
Chennai Coast,December,27.0,33.5,81,6.7,5.6,Pomfret
Andaman Sea,February,28.9,33.6,167,7.5,4.8,Tuna
Andaman Sea,June,30.4,35.5,134,4.9,7.2,Tuna
Chennai Coast,September,27.5,34.8,15,7.3,2.6,Mackerel
Visakhapatnam,May,29.5,34.2,155,5.1,1.6,Tuna
Rameswaram,July,25.4,34.3,49,4.6,1.0,Pomfret
Chennai Coast,March,25.8,33.8,66,4.8,8.5,Pomfret
Kerala Coast,March,28.0,33.4,39,7.0,2.0,Mackerel
Rameswaram,July,26.9,35.5,57,5.9,6.3,Pomfret
Kerala Coast,February,28.1,35.1,58,5.7,5.4,Mackerel
Visakhapatnam,October,30.8,34.7,70,5.1,5.7,Seer Fish
Kerala Coast,November,25.8,34.6,47,5.0,9.2,Sardine
Goa Coast,November,27.4,35.6,18,4.5,7.2,Mackerel
Goa Coast,October,28.3,35.3,71,4.8,3.2,Snapper
Kerala Coast,February,24.2,33.6,35,6.3,3.2,Anchovy
Chennai Coast,December,24.2,33.9,37,4.6,7.2,Anchovy
Andaman Sea,October,29.1,33.1,95,6.1,10.0,Snapper
Goa Coast,April,28.1,35.9,54,4.5,6.6,Snapper
Chennai Coast,January,28.9,34.4,42,7.1,1.9,Pomfret
Chennai Coast,May,27.2,35.7,88,5.6,7.4,Pomfret
Chennai Coast,January,28.9,34.2,55,5.3,2.5,Mackerel
Goa Coast,February,30.8,34.0,63,6.7,2.3,Seer Fish
Visakhapatnam,April,30.3,33.8,143,6.9,4.0,Tuna
Chennai Coast,March,27.4,34.8,85,4.9,1.6,Pomfret
Chennai Coast,April,28.9,33.6,41,5.9,2.1,Pomfret
Goa Coast,June,27.0,33.5,89,6.1,7.6,Snapper
Rameswaram,September,25.6,35.3,36,6.5,4.7,Pomfret
Kerala Coast,May,26.9,33.6,43,6.4,5.4,Anchovy
Visakhapatnam,February,30.0,33.6,46,7.7,7.4,Seer Fish
Chennai Coast,August,25.9,33.4,33,6.3,4.9,Anchovy
Kerala Coast,May,26.3,34.6,16,6.7,4.4,Mackerel
Chennai Coast,August,25.7,35.5,83,5.0,2.2,Pomfret
Chennai Coast,June,26.8,33.3,48,5.9,5.8,Anchovy
Chennai Coast,May,26.3,34.6,25,7.6,6.9,Anchovy
Goa Coast,January,29.9,34.8,99,7.2,2.4,Seer Fish
Kerala Coast,September,26.3,33.2,24,7.1,6.2,Mackerel
Andaman Sea,August,27.1,34.8,70,7.8,3.1,Snapper
Andaman Sea,May,27.7,34.9,105,7.8,6.3,Snapper
Kerala Coast,April,25.0,34.1,27,5.2,6.7,Sardine
Chennai Coast,May,26.9,34.8,79,6.6,7.7,Pomfret
Kerala Coast,January,26.0,34.3,68,6.1,2.7,Sardine
Chennai Coast,December,28.3,33.5,87,4.9,3.3,Pomfret
Kerala Coast,November,25.7,33.4,60,6.1,8.4,Sardine
Rameswaram,August,27.6,34.8,85,6.8,8.6,Pomfret
Kerala Coast,May,25.3,35.3,27,7.2,5.0,Anchovy
Rameswaram,January,25.5,35.5,75,5.4,8.7,Pomfret
Kerala Coast,April,27.1,35.7,20,5.3,4.0,Anchovy
Rameswaram,May,26.3,34.6,42,5.1,7.6,Sardine
Kerala Coast,May,26.5,34.8,25,6.0,7.3,Anchovy
Chennai Coast,March,26.2,34.6,25,4.9,1.8,Anchovy
Visakhapatnam,August,27.8,33.1,65,5.2,8.4,Seer Fish
Goa Coast,October,27.0,33.5,54,4.5,6.9,Mackerel
Visakhapatnam,April,27.7,35.8,96,7.9,6.4,Seer Fish
Chennai Coast,October,29.3,35.5,10,6.2,5.8,Mackerel
Chennai Coast,October,25.6,35.0,43,7.1,2.8,Anchovy
Goa Coast,October,28.8,34.5,52,5.9,6.0,Seer Fish
Andaman Sea,January,30.4,34.7,197,5.3,2.8,Tuna
Andaman Sea,December,31.0,35.6,110,6.3,6.1,Tuna
Rameswaram,October,28.4,35.3,29,6.8,4.6,Sardine
Chennai Coast,October,27.9,35.9,11,4.6,8.9,Anchovy
Rameswaram,February,26.7,34.7,43,5.6,3.4,Pomfret
Goa Coast,April,27.9,34.4,25,5.3,7.6,Seer Fish
Kerala Coast,June,27.5,35.6,35,7.4,6.4,Mackerel
Goa Coast,July,29.4,34.2,81,4.6,6.2,Seer Fish
Chennai Coast,May,29.3,34.3,33,6.3,4.8,Mackerel
Chennai Coast,October,28.0,33.4,41,5.0,6.1,Pomfret
Chennai Coast,October,25.4,34.5,44,7.6,6.3,Pomfret
Rameswaram,June,26.3,35.2,45,7.3,3.0,Pomfret
Goa Coast,October,29.5,34.7,87,7.1,8.0,Snapper
Goa Coast,December,28.9,33.7,46,4.7,5.9,Mackerel
Chennai Coast,June,25.0,35.4,62,5.2,7.4,Pomfret
Kerala Coast,August,25.1,35.6,74,6.4,5.3,Sardine
Chennai Coast,June,28.7,34.8,70,6.8,4.2,Pomfret
Goa Coast,February,28.2,34.0,48,4.7,1.6,Mackerel
Andaman Sea,August,29.1,33.7,93,4.9,8.9,Tuna
Rameswaram,August,26.7,34.1,72,7.0,1.5,Sardine
Kerala Coast,June,27.3,33.0,52,6.8,2.3,Sardine
Chennai Coast,November,27.1,34.7,34,6.0,8.1,Mackerel
Andaman Sea,May,27.4,35.6,46,8.0,3.6,Snapper
Visakhapatnam,August,30.7,34.4,163,7.3,3.0,Tuna
Rameswaram,January,27.7,35.0,52,5.0,8.7,Pomfret
Kerala Coast,February,28.9,35.9,68,6.0,7.2,Sardine
Goa Coast,April,29.2,34.2,99,5.4,8.8,Snapper
Chennai Coast,March,25.4,33.2,64,7.6,5.9,Pomfret
Kerala Coast,November,25.5,35.8,35,5.4,2.2,Anchovy
Goa Coast,June,29.0,34.9,32,5.8,5.2,Seer Fish
Rameswaram,June,27.6,33.7,61,7.5,4.1,Pomfret
Andaman Sea,August,31.6,34.1,67,4.5,2.4,Tuna
Goa Coast,June,30.2,33.9,78,7.6,6.9,Seer Fish
Kerala Coast,June,24.5,33.7,12,7.3,2.9,Anchovy
Goa Coast,March,26.7,34.0,53,6.6,3.9,Mackerel
Goa Coast,January,27.4,34.0,51,5.6,5.2,Seer Fish
Visakhapatnam,February,29.4,33.5,55,7.3,8.2,Seer Fish
Visakhapatnam,May,28.4,35.7,187,7.2,2.6,Tuna
Visakhapatnam,December,27.7,34.7,75,6.3,2.9,Seer Fish
Goa Coast,September,26.2,35.3,19,7.6,6.9,Mackerel
Kerala Coast,October,27.2,33.0,75,5.9,6.9,Sardine
Goa Coast,December,28.5,35.5,64,4.5,5.1,Snapper
Visakhapatnam,August,29.2,33.8,88,5.6,2.6,Seer Fish
Kerala Coast,April,27.3,35.5,26,5.7,7.3,Mackerel
Kerala Coast,September,26.1,34.5,30,7.9,3.8,Sardine
Andaman Sea,November,29.4,33.2,88,6.5,2.4,Snapper
Goa Coast,December,29.5,33.3,42,7.1,4.0,Seer Fish
Rameswaram,July,27.0,33.4,29,4.6,9.8,Sardine
Chennai Coast,February,26.8,34.9,61,4.7,5.8,Pomfret
Kerala Coast,December,28.5,35.7,42,7.0,9.1,Mackerel
Visakhapatnam,October,31.0,35.0,73,6.0,3.2,Seer Fish
Visakhapatnam,February,31.2,35.5,75,6.1,6.4,Tuna
Goa Coast,November,28.4,35.0,51,7.8,1.1,Snapper
Rameswaram,June,27.5,34.1,55,6.4,5.4,Sardine
Andaman Sea,March,30.0,34.2,101,7.3,2.7,Snapper
Visakhapatnam,June,30.0,34.9,30,6.5,8.3,Seer Fish
Kerala Coast,April,28.6,34.8,51,6.8,6.3,Mackerel
Goa Coast,February,29.1,34.6,118,7.0,8.4,Snapper
Visakhapatnam,October,30.2,35.4,109,4.5,2.0,Tuna
Andaman Sea,July,28.2,35.3,109,4.9,6.1,Snapper
Rameswaram,February,27.9,35.3,71,6.3,2.0,Pomfret
Chennai Coast,February,26.6,34.7,53,6.0,3.7,Mackerel
Goa Coast,April,29.0,35.8,90,5.1,6.6,Snapper
Visakhapatnam,December,29.8,33.1,87,5.8,2.7,Seer Fish
Andaman Sea,January,31.9,33.9,180,6.6,8.4,Tuna
Goa Coast,February,28.2,33.5,46,6.5,7.6,Snapper
Visakhapatnam,July,29.4,34.0,94,7.7,1.4,Tuna
Chennai Coast,June,26.5,35.6,40,7.0,1.8,Anchovy
Visakhapatnam,December,30.6,33.7,103,7.3,3.6,Tuna
Kerala Coast,April,26.7,33.9,26,7.9,7.0,Sardine
Kerala Coast,June,28.6,34.8,24,4.8,8.0,Mackerel
Goa Coast,December,27.9,34.9,112,7.7,3.3,Snapper
Goa Coast,August,29.1,35.8,88,7.3,3.0,Seer Fish
Andaman Sea,December,27.5,33.4,75,7.2,8.3,Snapper
Visakhapatnam,August,30.1,35.0,57,7.8,4.4,Seer Fish
Visakhapatnam,July,28.2,34.8,56,4.9,3.8,Seer Fish
Visakhapatnam,April,30.3,33.8,50,6.7,3.2,Seer Fish
Andaman Sea,April,31.8,33.8,111,6.2,8.7,Tuna
Rameswaram,April,27.7,33.5,70,7.3,6.7,Sardine
Kerala Coast,March,27.8,35.5,24,4.6,1.2,Anchovy
Andaman Sea,September,29.6,34.2,47,7.5,3.5,Snapper
Chennai Coast,November,26.3,35.7,44,4.6,2.0,Pomfret
Goa Coast,August,26.2,35.6,49,6.8,5.8,Mackerel
Chennai Coast,May,27.5,34.1,43,5.1,6.1,Anchovy
Chennai Coast,September,26.1,35.6,18,6.4,5.4,Anchovy
Goa Coast,February,26.3,34.5,38,7.2,3.1,Mackerel
Chennai Coast,September,29.3,33.0,57,7.1,2.5,Mackerel
Goa Coast,February,29.8,35.3,91,7.1,2.7,Seer Fish
Rameswaram,May,27.8,34.2,27,5.3,3.1,Sardine
Chennai Coast,March,27.1,35.3,47,7.2,1.4,Mackerel
Andaman Sea,November,30.4,34.7,109,7.7,2.8,Tuna
Rameswaram,April,29.0,36.0,25,5.4,2.7,Sardine
Rameswaram,September,27.0,35.1,48,6.1,8.3,Pomfret
Chennai Coast,April,26.2,34.8,36,7.9,4.7,Anchovy
Kerala Coast,February,25.6,33.1,42,7.8,1.7,Anchovy
Kerala Coast,April,27.0,35.7,12,6.0,6.2,Mackerel
Rameswaram,February,25.9,35.3,75,6.7,8.1,Sardine
Visakhapatnam,May,29.8,34.7,141,5.4,2.5,Tuna
Chennai Coast,July,25.9,34.2,61,4.6,3.1,Pomfret
Rameswaram,February,25.9,34.8,23,4.6,1.6,Sardine
Visakhapatnam,May,30.3,34.3,79,6.2,6.1,Seer Fish
Kerala Coast,October,28.8,35.3,36,6.7,4.4,Sardine
Rameswaram,February,28.6,35.1,49,4.5,1.8,Pomfret
Andaman Sea,July,29.5,34.8,103,5.4,6.3,Snapper
Kerala Coast,April,24.1,34.6,36,5.5,2.6,Anchovy
Andaman Sea,January,31.2,34.7,194,5.0,1.5,Tuna
Kerala Coast,June,26.4,33.9,67,5.8,9.5,Sardine
Goa Coast,May,28.6,34.4,50,6.5,5.6,Seer Fish
Goa Coast,July,26.4,33.3,18,7.8,2.2,Mackerel
Visakhapatnam,March,28.7,34.0,79,5.4,9.9,Tuna
Rameswaram,August,26.1,34.1,56,5.6,9.9,Sardine
Chennai Coast,August,25.3,35.3,11,5.3,5.0,Anchovy
Goa Coast,June,27.0,36.0,34,5.8,9.3,Mackerel
Andaman Sea,April,28.5,35.2,109,5.6,8.0,Tuna
Chennai Coast,May,27.4,33.3,16,5.2,7.1,Anchovy
Visakhapatnam,September,28.2,35.8,55,7.6,4.2,Seer Fish
Andaman Sea,August,29.6,34.4,65,6.9,8.7,Snapper
Kerala Coast,June,28.7,33.9,34,7.2,5.7,Mackerel
Andaman Sea,June,31.1,33.7,141,7.9,2.9,Tuna
Visakhapatnam,October,31.3,34.4,124,7.1,3.0,Tuna
Rameswaram,May,27.3,33.9,61,7.0,4.1,Pomfret
Andaman Sea,November,29.3,34.0,46,7.0,7.6,Snapper
Rameswaram,August,26.7,33.5,64,6.1,5.7,Sardine
Kerala Coast,March,27.1,35.8,31,5.4,5.0,Anchovy
Chennai Coast,August,25.2,34.2,47,7.8,9.6,Anchovy
Goa Coast,July,30.9,33.4,73,7.9,7.1,Seer Fish
Goa Coast,May,27.0,35.3,57,7.5,1.8,Mackerel
Kerala Coast,October,29.6,33.7,57,4.6,9.3,Mackerel
Rameswaram,December,26.1,33.1,37,5.3,7.2,Pomfret
Visakhapatnam,March,28.7,33.0,184,5.3,3.2,Tuna
Chennai Coast,November,28.6,36.0,15,5.9,9.0,Mackerel
Goa Coast,November,27.0,34.8,16,5.1,7.0,Mackerel
Goa Coast,January,28.2,36.0,58,6.4,7.4,Mackerel
Kerala Coast,January,24.1,35.5,38,5.2,2.2,Anchovy
Rameswaram,September,27.5,34.3,78,4.8,2.2,Pomfret
Andaman Sea,January,29.6,34.1,117,6.6,4.2,Snapper
Rameswaram,March,27.5,33.9,75,4.9,5.2,Sardine
Andaman Sea,December,28.2,34.9,52,7.7,9.9,Snapper
Kerala Coast,December,26.6,33.7,50,6.9,2.4,Mackerel
Visakhapatnam,December,29.3,34.3,113,7.1,1.6,Tuna
Kerala Coast,January,26.8,33.5,28,4.9,3.6,Sardine
Kerala Coast,March,26.9,35.4,24,6.4,2.2,Anchovy
Goa Coast,April,28.1,35.6,92,4.9,8.1,Snapper
Chennai Coast,May,28.3,33.5,53,7.1,1.7,Mackerel
Chennai Coast,June,27.8,35.9,80,6.5,6.7,Pomfret
Kerala Coast,February,28.1,34.5,28,5.5,2.4,Sardine
Visakhapatnam,November,28.1,34.0,34,6.2,5.8,Seer Fish
Chennai Coast,August,28.8,36.0,52,6.8,2.7,Pomfret
Kerala Coast,April,25.3,33.4,32,6.2,6.9,Sardine
Rameswaram,September,29.0,34.8,65,5.2,1.5,Sardine
Kerala Coast,October,25.2,33.9,50,5.9,2.5,Anchovy
Kerala Coast,May,27.0,33.6,58,5.0,3.7,Sardine
Chennai Coast,May,25.4,35.8,40,7.1,9.5,Anchovy
Goa Coast,May,27.4,33.8,40,6.2,3.3,Snapper
Rameswaram,July,27.5,35.3,30,6.7,6.9,Sardine
Kerala Coast,May,27.9,35.3,31,5.7,2.8,Anchovy
Andaman Sea,September,30.6,35.6,184,6.9,3.0,Tuna
Andaman Sea,September,29.7,33.2,198,7.3,7.4,Tuna
Visakhapatnam,October,31.5,33.8,124,6.1,8.2,Tuna
Kerala Coast,September,27.7,35.7,45,6.8,4.8,Sardine
Chennai Coast,January,28.5,34.4,82,7.2,4.2,Pomfret
Kerala Coast,October,29.7,33.3,36,6.6,9.9,Mackerel
Kerala Coast,April,28.8,35.3,71,7.1,8.7,Sardine
Andaman Sea,December,28.4,34.5,64,7.3,5.7,Snapper
Kerala Coast,May,24.0,34.7,10,7.4,2.5,Anchovy
Chennai Coast,October,27.7,34.4,46,4.9,7.2,Anchovy
Kerala Coast,April,25.3,35.6,15,5.9,3.4,Anchovy
Rameswaram,October,28.6,34.8,37,5.6,8.3,Pomfret
Kerala Coast,February,25.8,34.7,57,8.0,6.9,Sardine
Goa Coast,June,28.7,34.4,86,4.9,8.8,Snapper
Chennai Coast,February,26.9,33.2,77,4.7,1.6,Pomfret
Kerala Coast,June,25.3,35.9,78,5.1,6.3,Sardine
Goa Coast,November,28.7,35.6,48,5.3,6.2,Mackerel
Rameswaram,August,27.4,33.6,32,5.6,3.4,Sardine
Goa Coast,April,27.1,35.1,48,7.2,4.1,Mackerel
Andaman Sea,May,29.4,34.8,126,7.1,4.4,Tuna
Chennai Coast,June,28.8,33.1,88,7.7,9.2,Pomfret
Goa Coast,April,26.6,35.8,51,4.7,1.8,Mackerel
Kerala Coast,November,26.3,35.1,35,6.5,7.6,Mackerel
Goa Coast,September,28.3,34.5,23,7.3,2.8,Mackerel
Chennai Coast,February,28.5,35.0,35,5.1,2.1,Mackerel
Chennai Coast,September,28.5,34.2,42,5.7,5.8,Mackerel
Kerala Coast,September,28.9,35.8,13,4.7,9.0,Mackerel
Goa Coast,July,28.2,33.8,70,6.5,4.8,Seer Fish
Visakhapatnam,November,30.7,33.9,116,6.6,9.2,Tuna
Goa Coast,December,27.4,33.6,60,5.2,6.6,Snapper
Kerala Coast,November,24.8,35.6,21,7.5,2.8,Anchovy
Rameswaram,January,25.2,33.3,77,6.4,3.7,Pomfret
Rameswaram,September,26.7,34.3,74,6.3,9.6,Sardine
Rameswaram,July,27.2,33.3,38,7.6,7.6,Sardine
Chennai Coast,September,25.1,34.1,11,7.8,5.0,Anchovy
Chennai Coast,March,28.3,35.0,59,5.0,3.5,Mackerel
Visakhapatnam,November,29.6,35.1,21,5.4,2.5,Seer Fish
Chennai Coast,November,26.4,35.9,54,5.2,3.7,Mackerel
Goa Coast,October,27.2,35.1,44,8.0,1.6,Mackerel
Andaman Sea,February,31.5,34.0,143,5.0,4.2,Tuna
Rameswaram,July,27.8,33.2,45,6.4,6.8,Sardine
Rameswaram,July,27.4,34.2,39,7.4,2.1,Pomfret
Andaman Sea,November,27.9,34.0,105,4.6,1.0,Snapper
Kerala Coast,October,27.6,35.8,39,4.8,5.9,Mackerel
Goa Coast,June,27.5,34.4,112,7.6,7.1,Snapper
Visakhapatnam,August,28.9,33.9,64,6.0,6.4,Tuna
Rameswaram,October,27.9,34.6,34,7.8,1.6,Sardine
Visakhapatnam,December,31.7,33.4,106,6.4,1.6,Tuna
Chennai Coast,May,26.9,34.3,26,6.2,5.1,Anchovy
Chennai Coast,August,27.4,35.5,58,4.7,7.6,Mackerel
Andaman Sea,March,27.6,33.5,82,7.4,8.1,Snapper
Chennai Coast,November,27.9,33.7,33,5.3,4.4,Anchovy
Andaman Sea,January,30.1,33.6,122,5.6,3.1,Tuna
Visakhapatnam,July,30.3,33.2,87,6.2,7.1,Seer Fish
Goa Coast,February,30.8,34.7,71,7.0,7.7,Seer Fish
Kerala Coast,September,28.7,33.2,33,5.6,2.4,Sardine
Rameswaram,November,28.2,35.3,33,7.6,4.9,Sardine
Visakhapatnam,September,30.0,35.7,100,7.9,6.3,Tuna
Kerala Coast,April,27.5,35.7,49,4.5,5.9,Anchovy
Goa Coast,October,29.6,34.8,25,7.5,4.4,Mackerel
Kerala Coast,June,28.2,35.9,49,7.5,3.5,Sardine
Andaman Sea,October,27.7,35.9,99,6.6,8.5,Snapper
Chennai Coast,January,25.3,33.8,39,7.8,9.8,Anchovy
Andaman Sea,November,29.2,33.5,143,7.4,1.4,Tuna
Rameswaram,May,28.7,33.4,87,7.7,9.1,Pomfret
Andaman Sea,May,29.0,36.0,87,5.9,5.1,Tuna
Goa Coast,February,28.5,34.1,38,6.6,8.4,Mackerel
Visakhapatnam,April,30.8,35.9,49,6.1,9.6,Seer Fish
Andaman Sea,January,29.8,33.7,164,7.7,7.4,Tuna
Visakhapatnam,August,29.0,33.4,40,5.8,8.7,Seer Fish
Kerala Coast,February,27.0,35.3,15,6.8,6.8,Mackerel
Goa Coast,June,29.3,34.6,51,6.9,1.9,Snapper
Chennai Coast,September,29.1,33.4,29,5.8,3.2,Mackerel
Rameswaram,February,28.8,34.7,35,5.5,1.1,Sardine
Andaman Sea,September,29.3,34.3,71,7.2,1.5,Snapper
Visakhapatnam,May,28.1,33.2,68,5.3,2.8,Tuna
Chennai Coast,September,27.4,33.2,37,5.8,2.5,Pomfret
Kerala Coast,March,27.9,34.4,63,7.3,9.1,Sardine
Kerala Coast,September,25.7,34.1,21,5.1,3.3,Anchovy
Visakhapatnam,November,28.6,35.3,56,5.5,2.1,Seer Fish
Goa Coast,May,28.6,33.6,13,7.2,5.7,Mackerel
Rameswaram,May,27.5,35.0,47,7.1,8.3,Pomfret
Chennai Coast,October,26.5,33.6,76,6.6,8.3,Pomfret
Kerala Coast,April,28.2,33.4,52,6.1,1.1,Sardine
Goa Coast,February,29.7,33.9,93,7.6,4.5,Snapper
Chennai Coast,August,27.1,35.4,40,7.6,7.3,Pomfret
Goa Coast,June,29.3,34.6,71,4.6,2.8,Snapper
Andaman Sea,August,29.6,35.4,179,5.3,5.3,Tuna
Rameswaram,June,27.3,33.9,45,6.2,7.3,Pomfret
Goa Coast,September,29.1,35.4,53,5.5,2.5,Seer Fish
Goa Coast,May,27.3,35.2,33,7.6,6.4,Seer Fish
Rameswaram,June,27.9,35.8,65,5.0,8.9,Sardine
Goa Coast,December,27.7,33.5,65,5.1,6.7,Snapper
Chennai Coast,August,27.4,33.0,70,6.5,6.1,Pomfret
Goa Coast,May,29.9,35.6,91,6.8,2.1,Seer Fish
Andaman Sea,May,30.8,34.2,84,5.9,3.4,Tuna
Goa Coast,December,28.2,34.0,77,6.9,2.9,Seer Fish
Goa Coast,February,28.7,34.2,61,7.1,3.3,Seer Fish
Andaman Sea,July,28.1,34.2,183,7.9,8.4,Tuna
Andaman Sea,January,28.1,33.6,107,6.7,1.2,Snapper
Chennai Coast,April,26.2,34.3,72,7.7,3.6,Pomfret
Chennai Coast,May,27.5,34.4,38,5.3,4.3,Pomfret
Kerala Coast,September,27.8,33.8,18,8.0,8.9,Anchovy
Kerala Coast,November,27.3,33.7,35,7.4,7.5,Sardine
Goa Coast,August,28.5,34.5,54,5.4,7.4,Seer Fish
Visakhapatnam,January,28.6,35.5,98,5.8,7.8,Seer Fish
Andaman Sea,May,28.4,33.1,77,5.2,9.8,Tuna
Goa Coast,July,30.6,33.1,20,5.3,5.1,Seer Fish
Visakhapatnam,February,30.9,35.8,92,7.5,1.5,Seer Fish
Visakhapatnam,February,30.1,34.6,69,5.5,6.7,Tuna
Chennai Coast,October,26.3,33.3,15,5.1,2.5,Anchovy
Goa Coast,December,29.2,33.3,84,5.2,2.2,Snapper
Goa Coast,September,30.6,35.5,25,6.8,3.9,Seer Fish
Rameswaram,August,25.5,35.8,49,5.5,4.0,Pomfret
Andaman Sea,February,28.2,34.2,159,6.3,1.7,Tuna
Goa Coast,May,27.3,33.2,106,5.8,4.7,Snapper
Andaman Sea,June,27.8,33.9,116,7.4,5.1,Snapper
Goa Coast,December,26.9,35.4,47,5.4,9.0,Mackerel
Andaman Sea,December,30.7,34.6,147,5.9,7.3,Tuna
Visakhapatnam,November,29.5,33.4,61,5.8,7.8,Tuna
Andaman Sea,July,27.6,35.7,84,6.9,2.5,Snapper
Visakhapatnam,March,30.0,33.0,117,7.1,7.1,Tuna
Chennai Coast,March,26.7,33.3,85,7.9,9.6,Pomfret
Chennai Coast,March,28.7,33.1,50,7.2,8.6,Pomfret
Rameswaram,September,25.8,34.1,30,5.7,9.6,Sardine
Chennai Coast,May,25.3,34.0,28,6.7,7.1,Anchovy
Kerala Coast,November,26.4,35.5,39,5.2,2.7,Anchovy
Andaman Sea,August,28.9,33.0,200,6.9,4.6,Tuna
Kerala Coast,April,26.6,34.0,56,7.5,2.7,Sardine
Goa Coast,May,28.5,34.8,82,7.0,6.7,Snapper
Andaman Sea,June,31.8,35.7,199,6.8,1.6,Tuna
Goa Coast,December,29.0,34.9,113,5.0,5.8,Snapper
Chennai Coast,November,27.1,35.0,42,5.0,9.8,Anchovy
Rameswaram,August,25.6,33.4,79,6.1,8.1,Sardine
Goa Coast,May,27.5,34.7,27,7.9,8.8,Seer Fish
Rameswaram,February,28.2,34.7,20,6.5,1.0,Sardine
Chennai Coast,December,25.9,34.2,66,5.4,2.0,Pomfret
Rameswaram,September,25.6,35.2,59,5.5,8.5,Pomfret
Visakhapatnam,January,30.0,34.7,114,7.9,2.2,Tuna
Chennai Coast,May,27.6,35.0,26,4.5,1.1,Mackerel
Chennai Coast,May,25.1,35.8,46,6.2,9.6,Anchovy
Visakhapatnam,December,29.3,34.5,109,7.2,9.7,Tuna
Goa Coast,April,26.3,34.5,60,6.4,2.7,Mackerel
Kerala Coast,March,26.7,33.1,80,6.0,2.1,Sardine
Rameswaram,October,27.6,34.7,80,7.5,6.6,Sardine
Kerala Coast,October,24.2,34.5,43,5.0,1.6,Anchovy
Rameswaram,April,28.1,34.1,20,7.0,10.0,Sardine
Visakhapatnam,April,30.4,35.5,34,5.8,9.2,Seer Fish
Goa Coast,February,29.4,34.3,81,6.1,6.5,Snapper
Kerala Coast,January,27.7,36.0,25,6.1,4.6,Mackerel
Chennai Coast,September,25.2,34.1,24,4.6,5.6,Anchovy
Rameswaram,January,26.7,34.8,73,5.4,7.1,Pomfret
Kerala Coast,December,25.5,34.0,22,5.4,7.9,Sardine
Visakhapatnam,April,29.0,35.6,163,6.8,5.5,Tuna
Andaman Sea,May,28.6,33.4,88,7.4,8.2,Snapper
Rameswaram,December,25.4,34.2,35,6.4,4.7,Pomfret
Chennai Coast,April,28.3,33.4,33,7.5,5.5,Pomfret
Visakhapatnam,June,27.3,33.5,51,6.9,9.2,Seer Fish
Visakhapatnam,November,30.5,35.4,73,5.9,8.9,Seer Fish
Kerala Coast,October,26.0,34.2,29,7.4,8.8,Anchovy
Visakhapatnam,February,31.9,33.8,151,5.7,3.4,Tuna
Goa Coast,May,28.4,33.7,76,5.8,6.5,Snapper
Rameswaram,December,25.8,33.5,81,7.9,5.4,Pomfret
Kerala Coast,February,26.2,34.0,29,6.0,4.3,Sardine
Kerala Coast,January,29.7,33.6,53,7.5,8.4,Mackerel
Kerala Coast,January,29.4,34.3,37,6.4,2.6,Mackerel
Chennai Coast,March,25.5,35.2,23,6.5,1.5,Anchovy
Chennai Coast,November,25.5,35.4,84,6.2,7.5,Pomfret
Goa Coast,September,30.3,35.8,43,4.7,5.6,Seer Fish
Visakhapatnam,June,27.4,35.1,99,7.0,6.7,Seer Fish
Kerala Coast,September,27.3,33.9,32,5.5,6.7,Anchovy
Rameswaram,October,25.5,34.5,30,5.4,4.9,Pomfret
Rameswaram,April,27.7,33.3,28,6.3,3.0,Sardine
Kerala Coast,July,26.2,35.1,30,7.9,5.6,Sardine
Rameswaram,September,25.6,35.3,87,4.9,7.2,Pomfret
Rameswaram,December,28.3,35.0,71,7.1,7.5,Sardine
Goa Coast,January,29.1,33.4,109,6.4,2.7,Snapper
Chennai Coast,December,27.9,34.5,45,5.0,9.8,Anchovy
Kerala Coast,February,27.0,35.2,46,6.3,2.6,Anchovy
Andaman Sea,December,31.0,35.6,66,4.8,8.8,Tuna
Chennai Coast,May,27.9,33.5,33,7.2,3.7,Anchovy
Chennai Coast,November,27.2,33.7,32,7.4,8.0,Anchovy
Kerala Coast,December,28.8,33.3,67,5.4,3.8,Sardine
Goa Coast,January,26.3,33.4,58,7.1,5.2,Mackerel
Goa Coast,May,28.2,33.3,11,6.0,7.7,Mackerel
Goa Coast,November,30.0,33.5,119,7.5,4.3,Snapper
Goa Coast,June,27.1,34.7,104,4.6,7.9,Snapper
Rameswaram,October,25.8,33.3,77,6.4,1.1,Pomfret
Visakhapatnam,November,28.4,34.6,124,6.6,5.2,Tuna
Chennai Coast,June,27.2,33.4,40,4.6,2.7,Anchovy
Visakhapatnam,September,28.4,35.9,71,7.6,3.6,Seer Fish
Rameswaram,July,28.8,33.6,55,7.7,7.2,Pomfret
Goa Coast,September,27.7,33.6,40,4.6,4.4,Seer Fish
Andaman Sea,September,30.9,33.9,107,7.6,8.5,Tuna
Chennai Coast,October,26.9,33.6,68,4.9,6.8,Pomfret
Kerala Coast,April,26.5,34.7,63,6.5,3.9,Sardine
